Território;Nome do território;Sexo;Ano;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.);População
430020;Ajuricaba;Ambos;2016;65;900.28;657.61;7220
430020;Ajuricaba;Ambos;2017;52;724.03;493.28;7182
430020;Ajuricaba;Ambos;2018;63;882.35;587.98;7140
430020;Ajuricaba;Ambos;2019;57;803.95;510.09;7090
430020;Ajuricaba;Ambos;2020;66;934.05;600.98;7066
430020;Ajuricaba;Ambos;2021;78;1111.27;737.87;7019
430020;Ajuricaba;Ambos;2022;65;936.33;599.44;6942
430020;Ajuricaba;Ambos;2023;59;857.31;506.43;6882
430020;Ajuricaba;Ambos;2024;73;1066;644.69;6848
430020;Ajuricaba;Ambos;2025;28;409.18;282.98;6843
430020;Ajuricaba;Homens;2000;29;740.36;996.24;3917
430020;Ajuricaba;Homens;2001;32;819.25;1027.51;3906
430020;Ajuricaba;Homens;2002;33;849.42;1014.75;3885
430020;Ajuricaba;Homens;2003;28;725.2;854.6;3861
430020;Ajuricaba;Homens;2004;26;677.97;788.88;3835
430020;Ajuricaba;Homens;2005;28;735.49;816.76;3807
430020;Ajuricaba;Homens;2006;32;846.11;934.24;3782
430020;Ajuricaba;Homens;2007;20;532.2;572.2;3758
430020;Ajuricaba;Homens;2008;30;805.15;876.58;3726
430020;Ajuricaba;Homens;2009;27;729.14;708.72;3703
430020;Ajuricaba;Homens;2010;30;815;769.56;3681
430020;Ajuricaba;Homens;2011;38;1039.39;976.09;3656
430020;Ajuricaba;Homens;2012;26;714.87;675.17;3637
430020;Ajuricaba;Homens;2013;39;1077.35;971.58;3620
430020;Ajuricaba;Homens;2014;31;861.11;728;3600
430020;Ajuricaba;Homens;2015;32;892.36;741.21;3586
430020;Ajuricaba;Homens;2016;45;1259.8;1036.59;3572
430020;Ajuricaba;Homens;2017;26;731.57;585;3554
430020;Ajuricaba;Homens;2018;33;933.79;729.4;3534
430020;Ajuricaba;Homens;2019;31;882.94;681.35;3511
430020;Ajuricaba;Homens;2020;34;971.71;735.79;3499
430020;Ajuricaba;Homens;2021;37;1063.52;820.54;3479
430020;Ajuricaba;Homens;2022;36;1046.51;792.47;3440
430020;Ajuricaba;Homens;2023;30;879.25;615.49;3412
430020;Ajuricaba;Homens;2024;40;1177.16;864.2;3398
430020;Ajuricaba;Homens;2025;14;411.64;343.44;3401
430020;Ajuricaba;Mulheres;2000;21;539.15;545.28;3895
